Country,Company Industry,job_count,salary_min_usd,salary_median_usd,salary_max_usd,avg_company_size
Japan,Retail & E-commerce,417,42880.0,72360.0,116245.0,1681.0
Japan,Technology,415,42545.0,73700.0,116580.0,1585.0
Japan,Energy & Utilities,402,43885.0,72360.0,117250.0,1449.0
Netherlands,Entertainment & Media,464,69120.0,116100.0,186840.0,1581.0
Netherlands,Energy & Utilities,454,69660.0,116100.0,186300.0,1404.0
Netherlands,Education & EdTech,440,70740.0,116100.0,185760.0,1385.0
Netherlands,Cybersecurity,438,70740.0,117990.0,189000.0,1778.0
Netherlands,Logistics & Supply Chain,436,70200.0,117180.0,189000.0,1752.0
Netherlands,Healthcare & Biotech,431,68580.0,116640.0,188460.0,1695.0
Netherlands,Finance & Banking,410,70740.0,117720.0,189540.0,1794.0
Netherlands,Retail & E-commerce,404,68580.0,116100.0,188460.0,1731.0
Netherlands,Technology,400,69120.0,116640.0,186300.0,1934.0
Netherlands,Automotive & Robotics,392,68580.0,116100.0,188460.0,1631.0
Singapore,Education & EdTech,466,47625.0,80625.0,130500.0,1715.0
Singapore,Technology,459,49125.0,81000.0,131625.0,1545.0
Singapore,Retail & E-commerce,458,48375.0,81000.0,131625.0,2051.0
Singapore,Finance & Banking,448,47625.0,81750.0,131625.0,1474.0
Singapore,Healthcare & Biotech,440,48750.0,81375.0,130875.0,1683.0
Singapore,Energy & Utilities,430,47625.0,81000.0,129000.0,1610.0
Singapore,Automotive & Robotics,426,47625.0,81000.0,130125.0,1946.0
Singapore,Logistics & Supply Chain,419,48000.0,80625.0,130875.0,1521.0
Singapore,Cybersecurity,404,48000.0,81000.0,131250.0,1294.0
Singapore,Entertainment & Media,395,48750.0,80625.0,131625.0,1644.0
Switzerland,Retail & E-commerce,469,73530.0,123120.0,197220.0,1630.0
Switzerland,Cybersecurity,465,72960.0,121980.0,200070.0,1629.0
Switzerland,Automotive & Robotics,437,72390.0,124260.0,200070.0,1765.0
Switzerland,Logistics & Supply Chain,435,72960.0,121980.0,199500.0,1539.0
Switzerland,Education & EdTech,433,72960.0,123120.0,197220.0,1900.0
Switzerland,Finance & Banking,431,72390.0,121980.0,197790.0,1432.0
Switzerland,Technology,431,74100.0,121410.0,197790.0,1531.0
Switzerland,Healthcare & Biotech,416,74670.0,122550.0,198360.0,1604.0
Switzerland,Entertainment & Media,415,74100.0,122550.0,199500.0,1743.0
Switzerland,Energy & Utilities,383,73530.0,121980.0,200070.0,1458.0
United Kingdom,Education & EdTech,458,60960.0,100648.0,172085.0,1688.0
United Kingdom,Finance & Banking,444,60960.0,100012.0,172720.0,1803.0
United Kingdom,Retail & E-commerce,440,60325.0,100648.0,173355.0,1499.0
United Kingdom,Technology,439,60960.0,100330.0,173990.0,1608.0
United Kingdom,Entertainment & Media,437,60325.0,100965.0,173355.0,1396.0
United Kingdom,Healthcare & Biotech,435,61595.0,99695.0,172720.0,1641.0
United Kingdom,Cybersecurity,423,61595.0,99695.0,170815.0,1362.0
United Kingdom,Logistics & Supply Chain,423,60325.0,100965.0,173990.0,1980.0
United Kingdom,Automotive & Robotics,413,60325.0,101600.0,171450.0,1644.0
United Kingdom,Energy & Utilities,409,60960.0,101600.0,172720.0,1485.0
United States,Cybersecurity,459,85000.0,146000.0,261000.0,1745.0
United States,Entertainment & Media,456,85500.0,145500.0,262500.0,1487.0
United States,Automotive & Robotics,445,86000.0,145500.0,262000.0,1809.0
United States,Retail & E-commerce,438,85500.0,146000.0,264000.0,1462.0
United States,Energy & Utilities,435,86000.0,146000.0,265000.0,1496.0
United States,Education & EdTech,434,85500.0,146000.0,263000.0,1696.0
United States,Finance & Banking,430,85000.0,146000.0,260500.0,1604.0
United States,Technology,428,87000.0,148500.0,260500.0,1719.0
United States,Healthcare & Biotech,424,86000.0,145500.0,263500.0,1594.0
United States,Logistics & Supply Chain,421,85500.0,147500.0,264000.0,1302.0
