country,industry,specialization,job_count,salary_median_eur,risk_score,risk_label,sentiment_score,top_skills
Australia,Logistics & Supply Chain,Data Science,13,65302,7.36,High Risk,4.9,SQL;R-Studio;Statsmodels;Matplotlib;Data Wrangling;A/B Testing;Seaborn;Data Visualization
Australia,Logistics & Supply Chain,Deep Learning,19,65909,7.36,High Risk,4.9,JAX;Backpropagation;Keras;CNNs;CUDA;PyTorch;Neural Networks;RNNs
Australia,Logistics & Supply Chain,Generative AI,61,65302,7.36,High Risk,4.9,Fine-tuning;RAG (Retrieval-Augmented Generation);LangChain;OpenAI API;Stable Diffusion;Prompt Engineering;Vector Databases;LlamaIndex
Australia,Logistics & Supply Chain,MLOps,58,66365,7.36,High Risk,4.9,Docker;Triton Inference Server;CI/CD;Model Monitoring;Kubeflow;MLflow;Git;Terraform
Australia,Logistics & Supply Chain,Machine Learning,129,64694,7.36,High Risk,4.9,XGBoost;Supervised Learning;NumPy;Regression;Scikit-learn;Random Forest;Feature Engineering;LightGBM
Australia,Logistics & Supply Chain,NLP,49,66517,7.36,High Risk,4.9,GPT;NLTK;Tokenization;Spacy;Hugging Face;Transformers;Named Entity Recognition (NER);Text Summarization
Australia,Retail & E-commerce,Computer Vision,42,64543,5.14,Medium Risk,6.48,OpenCV;OCR;Object Detection;Image Segmentation;PyTorch;YOLO;ResNet;Image Processing
Australia,Retail & E-commerce,Data Science,12,62568,5.14,Medium Risk,6.48,SQL;R-Studio;Statsmodels;Matplotlib;Data Wrangling;A/B Testing;Seaborn;Data Visualization
Australia,Retail & E-commerce,Deep Learning,18,67580,5.14,Medium Risk,6.48,JAX;Backpropagation;Keras;CNNs;CUDA;PyTorch;Neural Networks;RNNs
Australia,Retail & E-commerce,Generative AI,66,66213,5.14,Medium Risk,6.48,Fine-tuning;RAG (Retrieval-Augmented Generation);LangChain;OpenAI API;Stable Diffusion;Prompt Engineering;Vector Databases;LlamaIndex
Australia,Retail & E-commerce,MLOps,60,64846,5.14,Medium Risk,6.48,Docker;Triton Inference Server;CI/CD;Model Monitoring;Kubeflow;MLflow;Git;Terraform
Australia,Retail & E-commerce,Machine Learning,125,66517,5.14,Medium Risk,6.48,XGBoost;Supervised Learning;NumPy;Regression;Scikit-learn;Random Forest;Feature Engineering;LightGBM
Australia,Retail & E-commerce,NLP,35,64087,5.14,Medium Risk,6.48,GPT;NLTK;Tokenization;Spacy;Hugging Face;Transformers;Named Entity Recognition (NER);Text Summarization
Australia,Technology,Computer Vision,37,66821,4.78,Medium Risk,6.49,OpenCV;OCR;Object Detection;Image Segmentation;PyTorch;YOLO;ResNet;Image Processing
Australia,Technology,Data Science,19,64998,4.78,Medium Risk,6.49,SQL;R-Studio;Statsmodels;Matplotlib;Data Wrangling;A/B Testing;Seaborn;Data Visualization
Australia,Technology,Deep Learning,22,66821,4.78,Medium Risk,6.49,JAX;Backpropagation;Keras;CNNs;CUDA;PyTorch;Neural Networks;RNNs
Australia,Technology,Generative AI,46,65758,4.78,Medium Risk,6.49,Fine-tuning;RAG (Retrieval-Augmented Generation);LangChain;OpenAI API;Stable Diffusion;Prompt Engineering;Vector Databases;LlamaIndex
Australia,Technology,MLOps,65,63783,4.78,Medium Risk,6.49,Docker;Triton Inference Server;CI/CD;Model Monitoring;Kubeflow;MLflow;Git;Terraform
Australia,Technology,Machine Learning,141,66213,4.78,Medium Risk,6.49,XGBoost;Supervised Learning;NumPy;Regression;Scikit-learn;Random Forest;Feature Engineering;LightGBM
Australia,Technology,NLP,39,65909,4.78,Medium Risk,6.49,GPT;NLTK;Tokenization;Spacy;Hugging Face;Transformers;Named Entity Recognition (NER);Text Summarization
Canada,Automotive & Robotics,Computer Vision,39,72062,5.56,Medium Risk,5.3,OpenCV;OCR;Object Detection;Image Segmentation;PyTorch;YOLO;ResNet;Image Processing
Canada,Automotive & Robotics,Data Science,14,69444,5.56,Medium Risk,5.3,SQL;R-Studio;Statsmodels;Matplotlib;Data Wrangling;A/B Testing;Seaborn;Data Visualization
Canada,Automotive & Robotics,Deep Learning,16,69136,5.56,Medium Risk,5.3,JAX;Backpropagation;Keras;CNNs;CUDA;PyTorch;Neural Networks;RNNs
Canada,Automotive & Robotics,Generative AI,58,70830,5.56,Medium Risk,5.3,Fine-tuning;RAG (Retrieval-Augmented Generation);LangChain;OpenAI API;Stable Diffusion;Prompt Engineering;Vector Databases;LlamaIndex
Canada,Automotive & Robotics,MLOps,66,69598,5.56,Medium Risk,5.3,Docker;Triton Inference Server;CI/CD;Model Monitoring;Kubeflow;MLflow;Git;Terraform
Canada,Automotive & Robotics,Machine Learning,129,72062,5.56,Medium Risk,5.3,XGBoost;Supervised Learning;NumPy;Regression;Scikit-learn;Random Forest;Feature Engineering;LightGBM
Canada,Automotive & Robotics,NLP,42,70830,5.56,Medium Risk,5.3,GPT;NLTK;Tokenization;Spacy;Hugging Face;Transformers;Named Entity Recognition (NER);Text Summarization
Canada,Cybersecurity,Computer Vision,31,68367,5.1,Medium Risk,6.49,OpenCV;OCR;Object Detection;Image Segmentation;PyTorch;YOLO;ResNet;Image Processing
Canada,Cybersecurity,Data Science,14,69598,5.1,Medium Risk,6.49,SQL;R-Studio;Statsmodels;Matplotlib;Data Wrangling;A/B Testing;Seaborn;Data Visualization
Canada,Cybersecurity,Deep Learning,18,72370,5.1,Medium Risk,6.49,JAX;Backpropagation;Keras;CNNs;CUDA;PyTorch;Neural Networks;RNNs
Canada,Cybersecurity,Generative AI,57,69290,5.1,Medium Risk,6.49,Fine-tuning;RAG (Retrieval-Augmented Generation);LangChain;OpenAI API;Stable Diffusion;Prompt Engineering;Vector Databases;LlamaIndex
Canada,Cybersecurity,MLOps,71,72062,5.1,Medium Risk,6.49,Docker;Triton Inference Server;CI/CD;Model Monitoring;Kubeflow;MLflow;Git;Terraform
Canada,Cybersecurity,Machine Learning,131,71446,5.1,Medium Risk,6.49,XGBoost;Supervised Learning;NumPy;Regression;Scikit-learn;Random Forest;Feature Engineering;LightGBM
Canada,Cybersecurity,NLP,36,70060,5.1,Medium Risk,6.49,GPT;NLTK;Tokenization;Spacy;Hugging Face;Transformers;Named Entity Recognition (NER);Text Summarization
Canada,Education & EdTech,Computer Vision,34,72832,1.69,Low Risk,6.1,OpenCV;OCR;Object Detection;Image Segmentation;PyTorch;YOLO;ResNet;Image Processing
Canada,Education & EdTech,Data Science,19,72678,1.69,Low Risk,6.1,SQL;R-Studio;Statsmodels;Matplotlib;Data Wrangling;A/B Testing;Seaborn;Data Visualization
Canada,Education & EdTech,Deep Learning,16,71446,1.69,Low Risk,6.1,JAX;Backpropagation;Keras;CNNs;CUDA;PyTorch;Neural Networks;RNNs
Canada,Education & EdTech,Generative AI,40,72062,1.69,Low Risk,6.1,Fine-tuning;RAG (Retrieval-Augmented Generation);LangChain;OpenAI API;Stable Diffusion;Prompt Engineering;Vector Databases;LlamaIndex
Canada,Education & EdTech,MLOps,51,71754,1.69,Low Risk,6.1,Docker;Triton Inference Server;CI/CD;Model Monitoring;Kubeflow;MLflow;Git;Terraform
Canada,Education & EdTech,Machine Learning,147,72370,1.69,Low Risk,6.1,XGBoost;Supervised Learning;NumPy;Regression;Scikit-learn;Random Forest;Feature Engineering;LightGBM
Canada,Education & EdTech,NLP,41,69598,1.69,Low Risk,6.1,GPT;NLTK;Tokenization;Spacy;Hugging Face;Transformers;Named Entity Recognition (NER);Text Summarization
Canada,Energy & Utilities,Computer Vision,48,73756,3.77,Low Risk,5.1,OpenCV;OCR;Object Detection;Image Segmentation;PyTorch;YOLO;ResNet;Image Processing
Canada,Energy & Utilities,Data Science,20,69290,3.77,Low Risk,5.1,SQL;R-Studio;Statsmodels;Matplotlib;Data Wrangling;A/B Testing;Seaborn;Data Visualization
Canada,Energy & Utilities,Deep Learning,23,72678,3.77,Low Risk,5.1,JAX;Backpropagation;Keras;CNNs;CUDA;PyTorch;Neural Networks;RNNs
Canada,Energy & Utilities,Generative AI,57,71754,3.77,Low Risk,5.1,Fine-tuning;RAG (Retrieval-Augmented Generation);LangChain;OpenAI API;Stable Diffusion;Prompt Engineering;Vector Databases;LlamaIndex
Canada,Energy & Utilities,MLOps,60,70368,3.77,Low Risk,5.1,Docker;Triton Inference Server;CI/CD;Model Monitoring;Kubeflow;MLflow;Git;Terraform
Canada,Energy & Utilities,Machine Learning,128,69752,3.77,Low Risk,5.1,XGBoost;Supervised Learning;NumPy;Regression;Scikit-learn;Random Forest;Feature Engineering;LightGBM
Canada,Energy & Utilities,NLP,41,70522,3.77,Low Risk,5.1,GPT;NLTK;Tokenization;Spacy;Hugging Face;Transformers;Named Entity Recognition (NER);Text Summarization
Canada,Entertainment & Media,Computer Vision,35,72370,4.75,Medium Risk,6.54,OpenCV;OCR;Object Detection;Image Segmentation;PyTorch;YOLO;ResNet;Image Processing
Canada,Entertainment & Media,Data Science,15,68675,4.75,Medium Risk,6.54,SQL;R-Studio;Statsmodels;Matplotlib;Data Wrangling;A/B Testing;Seaborn;Data Visualization
Canada,Entertainment & Media,Deep Learning,19,68983,4.75,Medium Risk,6.54,JAX;Backpropagation;Keras;CNNs;CUDA;PyTorch;Neural Networks;RNNs
Canada,Entertainment & Media,Generative AI,62,69752,4.75,Medium Risk,6.54,Fine-tuning;RAG (Retrieval-Augmented Generation);LangChain;OpenAI API;Stable Diffusion;Prompt Engineering;Vector Databases;LlamaIndex
Canada,Entertainment & Media,MLOps,51,72062,4.75,Medium Risk,6.54,Docker;Triton Inference Server;CI/CD;Model Monitoring;Kubeflow;MLflow;Git;Terraform
Canada,Entertainment & Media,Machine Learning,149,71138,4.75,Medium Risk,6.54,XGBoost;Supervised Learning;NumPy;Regression;Scikit-learn;Random Forest;Feature Engineering;LightGBM
Canada,Entertainment & Media,NLP,44,68983,4.75,Medium Risk,6.54,GPT;NLTK;Tokenization;Spacy;Hugging Face;Transformers;Named Entity Recognition (NER);Text Summarization
Canada,Finance & Banking,Computer Vision,52,71908,4.88,Medium Risk,6.49,OpenCV;OCR;Object Detection;Image Segmentation;PyTorch;YOLO;ResNet;Image Processing
Canada,Finance & Banking,Data Science,12,68983,4.88,Medium Risk,6.49,SQL;R-Studio;Statsmodels;Matplotlib;Data Wrangling;A/B Testing;Seaborn;Data Visualization
Canada,Finance & Banking,Deep Learning,21,74834,4.88,Medium Risk,6.49,JAX;Backpropagation;Keras;CNNs;CUDA;PyTorch;Neural Networks;RNNs
Canada,Finance & Banking,Generative AI,43,71446,4.88,Medium Risk,6.49,Fine-tuning;RAG (Retrieval-Augmented Generation);LangChain;OpenAI API;Stable Diffusion;Prompt Engineering;Vector Databases;LlamaIndex
Canada,Finance & Banking,MLOps,70,70522,4.88,Medium Risk,6.49,Docker;Triton Inference Server;CI/CD;Model Monitoring;Kubeflow;MLflow;Git;Terraform
Canada,Finance & Banking,Machine Learning,132,71292,4.88,Medium Risk,6.49,XGBoost;Supervised Learning;NumPy;Regression;Scikit-learn;Random Forest;Feature Engineering;LightGBM
Canada,Finance & Banking,NLP,33,74834,4.88,Medium Risk,6.49,GPT;NLTK;Tokenization;Spacy;Hugging Face;Transformers;Named Entity Recognition (NER);Text Summarization
Canada,Healthcare & Biotech,Computer Vision,46,70830,2.96,Low Risk,5.9,OpenCV;OCR;Object Detection;Image Segmentation;PyTorch;YOLO;ResNet;Image Processing
Canada,Healthcare & Biotech,Data Science,19,67135,2.96,Low Risk,5.9,SQL;R-Studio;Statsmodels;Matplotlib;Data Wrangling;A/B Testing;Seaborn;Data Visualization
Canada,Healthcare & Biotech,Deep Learning,23,68059,2.96,Low Risk,5.9,JAX;Backpropagation;Keras;CNNs;CUDA;PyTorch;Neural Networks;RNNs
Canada,Healthcare & Biotech,Generative AI,65,70522,2.96,Low Risk,5.9,Fine-tuning;RAG (Retrieval-Augmented Generation);LangChain;OpenAI API;Stable Diffusion;Prompt Engineering;Vector Databases;LlamaIndex
Canada,Healthcare & Biotech,MLOps,54,72832,2.96,Low Risk,5.9,Docker;Triton Inference Server;CI/CD;Model Monitoring;Kubeflow;MLflow;Git;Terraform
Canada,Healthcare & Biotech,Machine Learning,136,71446,2.96,Low Risk,5.9,XGBoost;Supervised Learning;NumPy;Regression;Scikit-learn;Random Forest;Feature Engineering;LightGBM
Canada,Healthcare & Biotech,NLP,46,69444,2.96,Low Risk,5.9,GPT;NLTK;Tokenization;Spacy;Hugging Face;Transformers;Named Entity Recognition (NER);Text Summarization
Canada,Logistics & Supply Chain,Computer Vision,55,71754,7.36,High Risk,4.9,OpenCV;OCR;Object Detection;Image Segmentation;PyTorch;YOLO;ResNet;Image Processing
Canada,Logistics & Supply Chain,Data Science,18,71138,7.36,High Risk,4.9,SQL;R-Studio;Statsmodels;Matplotlib;Data Wrangling;A/B Testing;Seaborn;Data Visualization
Canada,Logistics & Supply Chain,Deep Learning,21,68675,7.36,High Risk,4.9,JAX;Backpropagation;Keras;CNNs;CUDA;PyTorch;Neural Networks;RNNs
Canada,Logistics & Supply Chain,Generative AI,66,69598,7.36,High Risk,4.9,Fine-tuning;RAG (Retrieval-Augmented Generation);LangChain;OpenAI API;Stable Diffusion;Prompt Engineering;Vector Databases;LlamaIndex
Canada,Logistics & Supply Chain,MLOps,63,69598,7.36,High Risk,4.9,Docker;Triton Inference Server;CI/CD;Model Monitoring;Kubeflow;MLflow;Git;Terraform
Canada,Logistics & Supply Chain,Machine Learning,145,69906,7.36,High Risk,4.9,XGBoost;Supervised Learning;NumPy;Regression;Scikit-learn;Random Forest;Feature Engineering;LightGBM
Canada,Logistics & Supply Chain,NLP,49,69290,7.36,High Risk,4.9,GPT;NLTK;Tokenization;Spacy;Hugging Face;Transformers;Named Entity Recognition (NER);Text Summarization
Canada,Retail & E-commerce,Computer Vision,33,70522,5.14,Medium Risk,6.48,OpenCV;OCR;Object Detection;Image Segmentation;PyTorch;YOLO;ResNet;Image Processing
Canada,Retail & E-commerce,Data Science,16,66981,5.14,Medium Risk,6.48,SQL;R-Studio;Statsmodels;Matplotlib;Data Wrangling;A/B Testing;Seaborn;Data Visualization
Canada,Retail & E-commerce,Deep Learning,18,68059,5.14,Medium Risk,6.48,JAX;Backpropagation;Keras;CNNs;CUDA;PyTorch;Neural Networks;RNNs
Canada,Retail & E-commerce,Generative AI,60,71138,5.14,Medium Risk,6.48,Fine-tuning;RAG (Retrieval-Augmented Generation);LangChain;OpenAI API;Stable Diffusion;Prompt Engineering;Vector Databases;LlamaIndex
Canada,Retail & E-commerce,MLOps,73,69290,5.14,Medium Risk,6.48,Docker;Triton Inference Server;CI/CD;Model Monitoring;Kubeflow;MLflow;Git;Terraform
Canada,Retail & E-commerce,Machine Learning,127,70830,5.14,Medium Risk,6.48,XGBoost;Supervised Learning;NumPy;Regression;Scikit-learn;Random Forest;Feature Engineering;LightGBM
Canada,Retail & E-commerce,NLP,33,69906,5.14,Medium Risk,6.48,GPT;NLTK;Tokenization;Spacy;Hugging Face;Transformers;Named Entity Recognition (NER);Text Summarization
Canada,Technology,Computer Vision,41,72062,4.78,Medium Risk,6.49,OpenCV;OCR;Object Detection;Image Segmentation;PyTorch;YOLO;ResNet;Image Processing
Canada,Technology,Data Science,18,72370,4.78,Medium Risk,6.49,SQL;R-Studio;Statsmodels;Matplotlib;Data Wrangling;A/B Testing;Seaborn;Data Visualization
Canada,Technology,Deep Learning,18,72216,4.78,Medium Risk,6.49,JAX;Backpropagation;Keras;CNNs;CUDA;PyTorch;Neural Networks;RNNs
Canada,Technology,Generative AI,62,70368,4.78,Medium Risk,6.49,Fine-tuning;RAG (Retrieval-Augmented Generation);LangChain;OpenAI API;Stable Diffusion;Prompt Engineering;Vector Databases;LlamaIndex
Canada,Technology,MLOps,69,68983,4.78,Medium Risk,6.49,Docker;Triton Inference Server;CI/CD;Model Monitoring;Kubeflow;MLflow;Git;Terraform
Canada,Technology,Machine Learning,157,72062,4.78,Medium Risk,6.49,XGBoost;Supervised Learning;NumPy;Regression;Scikit-learn;Random Forest;Feature Engineering;LightGBM
Canada,Technology,NLP,40,71600,4.78,Medium Risk,6.49,GPT;NLTK;Tokenization;Spacy;Hugging Face;Transformers;Named Entity Recognition (NER);Text Summarization
France,Automotive & Robotics,Computer Vision,41,108500,5.56,Medium Risk,5.3,OpenCV;OCR;Object Detection;Image Segmentation;PyTorch;YOLO;ResNet;Image Processing
France,Automotive & Robotics,Data Science,19,106000,5.56,Medium Risk,5.3,SQL;R-Studio;Statsmodels;Matplotlib;Data Wrangling;A/B Testing;Seaborn;Data Visualization
France,Automotive & Robotics,Deep Learning,28,106000,5.56,Medium Risk,5.3,JAX;Backpropagation;Keras;CNNs;CUDA;PyTorch;Neural Networks;RNNs
France,Automotive & Robotics,Generative AI,53,108000,5.56,Medium Risk,5.3,Fine-tuning;RAG (Retrieval-Augmented Generation);LangChain;OpenAI API;Stable Diffusion;Prompt Engineering;Vector Databases;LlamaIndex
France,Automotive & Robotics,MLOps,54,108250,5.56,Medium Risk,5.3,Docker;Triton Inference Server;CI/CD;Model Monitoring;Kubeflow;MLflow;Git;Terraform
France,Automotive & Robotics,Machine Learning,121,110500,5.56,Medium Risk,5.3,XGBoost;Supervised Learning;NumPy;Regression;Scikit-learn;Random Forest;Feature Engineering;LightGBM
France,Automotive & Robotics,NLP,37,108500,5.56,Medium Risk,5.3,GPT;NLTK;Tokenization;Spacy;Hugging Face;Transformers;Named Entity Recognition (NER);Text Summarization
France,Cybersecurity,Computer Vision,45,106500,5.1,Medium Risk,6.49,OpenCV;OCR;Object Detection;Image Segmentation;PyTorch;YOLO;ResNet;Image Processing
France,Cybersecurity,Data Science,25,110000,5.1,Medium Risk,6.49,SQL;R-Studio;Statsmodels;Matplotlib;Data Wrangling;A/B Testing;Seaborn;Data Visualization
France,Cybersecurity,Deep Learning,21,146500,5.1,Medium Risk,6.49,JAX;Backpropagation;Keras;CNNs;CUDA;PyTorch;Neural Networks;RNNs
France,Cybersecurity,Generative AI,52,106000,5.1,Medium Risk,6.49,Fine-tuning;RAG (Retrieval-Augmented Generation);LangChain;OpenAI API;Stable Diffusion;Prompt Engineering;Vector Databases;LlamaIndex
France,Cybersecurity,MLOps,70,107750,5.1,Medium Risk,6.49,Docker;Triton Inference Server;CI/CD;Model Monitoring;Kubeflow;MLflow;Git;Terraform
France,Cybersecurity,Machine Learning,146,107000,5.1,Medium Risk,6.49,XGBoost;Supervised Learning;NumPy;Regression;Scikit-learn;Random Forest;Feature Engineering;LightGBM
France,Cybersecurity,NLP,40,106750,5.1,Medium Risk,6.49,GPT;NLTK;Tokenization;Spacy;Hugging Face;Transformers;Named Entity Recognition (NER);Text Summarization
