ID,Company,Date,Year,Month_Name,Quarter,Industry,Country,Company_Size,Employees_Laid_Off,Pct_Workforce_Laid_Off,Reason,Market_Condition,AI_Automation_Impact_Score,AI_Replacement_Risk_Score,AI_Adoption_Level_Score,Open_Roles,Hiring_Trend,Top_Hiring_Role,Remote_Jobs_Pct,Stock_Growth_Pct,Revenue_Growth_Pct,Salary_Budget_Change_Pct,Employee_Sentiment_Score,Job_Security_Score
32,Airbnb,2024-01-01,2024,January,1,Cybersecurity,India,Big Tech,18723,23.8,Cost Cutting,Recession,5.2,6.5,4.3,1456,Hiring Freeze,ML Engineer,82.4,49.2,0.4,-12.7,4.9,5.0
33,Airbnb,2024-01-01,2024,January,1,FinTech,UK,Big Tech,13322,39.9,AI Automation,Recession,10.7,10.0,6.3,719,Downsizing,ML Engineer,72.7,83.4,-18.7,-10.5,1.7,1.0
34,Airbnb,2024-01-01,2024,January,1,FinTech,USA,Enterprise,431,2.5,Market Slowdown,Bull Market,6.5,6.7,5.5,5902,Aggressive Hiring,Product Manager,84.3,74.4,34.9,19.4,8.8,7.6
35,Airbnb,2024-01-01,2024,January,1,FinTech,India,Startup,1079,15.0,Cost Cutting,Stable,4.0,7.7,3.1,639,Hiring Freeze,Frontend Developer,44.1,26.2,0.5,-8.7,4.1,4.4
36,Airbnb,2024-01-01,2024,January,1,FinTech,Germany,Startup,13660,36.9,Overhiring Correction,Recession,5.8,10.0,3.5,1126,Downsizing,Cloud Engineer,78.9,-44.4,29.1,-6.6,4.6,4.0
37,Amazon,2024-01-01,2024,January,1,Social Media,Singapore,Big Tech,5241,7.7,Overhiring Correction,Stable,3.7,3.3,3.0,2022,Hiring Freeze,ML Engineer,70.3,-8.7,19.0,2.2,7.5,7.1
38,Amazon,2024-01-01,2024,January,1,Cloud,Canada,Mid-size,7795,23.7,Market Slowdown,Recession,7.8,10.0,6.6,1595,Hiring Freeze,DevOps Engineer,75.1,59.5,7.8,-0.6,6.8,4.4
39,Amazon,2024-01-01,2024,January,1,FinTech,Singapore,Big Tech,1739,2.2,Cost Cutting,Bull Market,10.0,10.0,8.4,1308,Hiring Freeze,Data Scientist,86.2,-24.8,20.7,13.3,8.0,5.4
40,Amazon,2024-01-01,2024,January,1,Cloud,Germany,Big Tech,224,4.6,Overhiring Correction,Bull Market,1.9,3.5,1.9,4740,Moderate Hiring,Data Scientist,15.6,83.7,21.0,12.3,7.5,8.2
41,Amazon,2024-01-01,2024,January,1,FinTech,USA,Big Tech,13723,29.2,Cost Cutting,Recession,4.7,9.4,3.7,1352,Downsizing,Frontend Developer,25.8,53.4,-24.3,-22.2,3.9,2.3
42,Amazon,2024-01-01,2024,January,1,FinTech,Canada,Enterprise,19111,17.5,Overhiring Correction,Recession,3.0,7.7,2.8,1543,Hiring Freeze,Frontend Developer,62.8,-37.9,56.5,12.1,8.0,7.2
43,Amazon,2024-01-01,2024,January,1,Cloud,India,Big Tech,3905,8.1,Overhiring Correction,Stable,11.1,9.2,8.5,932,Moderate Hiring,Product Manager,63.8,-20.2,49.7,22.2,6.4,7.1
44,Amazon,2024-01-01,2024,January,1,Social Media,Singapore,Startup,4194,1.4,Overhiring Correction,Stable,11.3,4.2,8.4,2811,Moderate Hiring,DevOps Engineer,51.2,-29.9,-21.5,-2.6,5.5,5.4
45,Amazon,2024-01-01,2024,January,1,FinTech,Singapore,Startup,16587,30.6,Cost Cutting,Recession,4.9,10.0,4.9,289,Downsizing,ML Engineer,73.9,61.1,40.0,17.5,6.1,4.0
46,Amazon,2024-01-01,2024,January,1,Cybersecurity,India,Mid-size,295,0.4,Overhiring Correction,Bull Market,6.7,8.4,7.5,5020,Aggressive Hiring,Product Manager,10.6,82.3,7.7,8.2,7.0,7.5
47,Amazon,2024-01-01,2024,January,1,Social Media,USA,Enterprise,6694,28.8,Restructuring,Recession,2.9,8.9,2.5,82,Downsizing,Frontend Developer,47.5,48.8,-23.2,-23.6,4.3,3.0
48,Amazon,2024-01-01,2024,January,1,FinTech,UK,Big Tech,2692,10.9,Cost Cutting,Stable,2.5,5.4,1.6,1948,Downsizing,Cybersecurity Analyst,65.9,84.2,28.5,16.1,6.9,5.7
49,Amazon,2024-01-01,2024,January,1,AI,Germany,Mid-size,1991,38.7,Market Slowdown,Recession,4.8,10.0,4.0,5886,Downsizing,ML Engineer,75.2,-1.8,13.2,-8.8,5.5,2.2
50,Amazon,2024-01-01,2024,January,1,Gaming,USA,Mid-size,1451,5.3,Overhiring Correction,Bull Market,2.0,3.1,1.8,3199,Hiring Freeze,DevOps Engineer,40.8,82.9,-6.9,5.1,6.1,5.9
51,Amazon,2024-01-01,2024,January,1,FinTech,Singapore,Mid-size,699,5.5,Overhiring Correction,Stable,10.4,6.7,8.3,4577,Moderate Hiring,ML Engineer,80.6,0.0,40.7,9.6,6.7,7.6
52,Amazon,2024-01-01,2024,January,1,Cloud,Germany,Startup,3979,10.4,Cost Cutting,Stable,6.3,6.2,4.1,5230,Hiring Freeze,Data Scientist,54.9,33.9,40.7,8.3,7.2,7.7
53,Amazon,2024-01-01,2024,January,1,E-Commerce,UK,Startup,7263,10.8,Overhiring Correction,Recession,12.7,10.0,9.5,648,Moderate Hiring,Cloud Engineer,44.5,-15.0,-8.8,0.5,5.7,4.5
54,Amazon,2024-01-01,2024,January,1,Cloud,Germany,Startup,3538,8.4,Cost Cutting,Stable,1.8,1.5,2.3,1914,Hiring Freeze,DevOps Engineer,10.1,57.6,55.1,18.6,9.9,9.1
55,Anthropic,2024-01-01,2024,January,1,FinTech,Canada,Big Tech,13178,20.4,Market Slowdown,Recession,6.7,8.1,6.1,151,Hiring Freeze,DevOps Engineer,15.9,45.2,27.7,7.3,5.7,5.9
56,Anthropic,2024-01-01,2024,January,1,Gaming,UK,Big Tech,3342,14.8,Market Slowdown,Stable,12.8,10.0,9.0,2342,Moderate Hiring,DevOps Engineer,48.2,-39.8,27.8,16.7,6.7,5.1
57,Anthropic,2024-01-01,2024,January,1,FinTech,Canada,Mid-size,2103,9.9,AI Automation,Bull Market,6.3,5.6,3.8,2142,Moderate Hiring,Cybersecurity Analyst,77.2,63.9,5.2,7.3,8.1,6.9
58,Anthropic,2024-01-01,2024,January,1,Cloud,India,Big Tech,451,5.8,Overhiring Correction,Bull Market,6.5,7.2,5.4,584,Hiring Freeze,Software Engineer,25.9,-7.3,30.8,14.1,7.2,7.3
59,Anthropic,2024-01-01,2024,January,1,Gaming,Germany,Enterprise,249,2.5,Restructuring,Stable,4.6,5.9,5.1,3925,Moderate Hiring,DevOps Engineer,45.2,-31.2,3.6,-5.4,8.1,7.3
60,Anthropic,2024-01-01,2024,January,1,E-Commerce,India,Big Tech,18455,20.2,Cost Cutting,Recession,3.9,6.3,3.3,1811,Hiring Freeze,Software Engineer,89.1,37.3,33.1,11.2,5.6,5.1
61,Anthropic,2024-01-01,2024,January,1,Social Media,Singapore,Startup,5813,16.3,Market Slowdown,Stable,12.5,8.8,8.2,1150,Hiring Freeze,ML Engineer,41.6,-38.9,18.4,8.7,8.0,5.6
62,Anthropic,2024-01-01,2024,January,1,Social Media,India,Startup,19692,19.7,Market Slowdown,Recession,7.7,10.0,9.3,590,Hiring Freeze,Frontend Developer,70.8,28.6,-1.1,-9.1,4.4,4.2
63,Anthropic,2024-01-01,2024,January,1,Social Media,India,Startup,3097,12.4,Restructuring,Stable,6.7,9.9,5.9,5057,Hiring Freeze,Frontend Developer,34.4,45.7,-2.6,1.0,4.2,4.8
64,Anthropic,2024-01-01,2024,January,1,FinTech,Canada,Big Tech,3979,13.5,Overhiring Correction,Stable,6.6,5.7,7.1,1489,Moderate Hiring,Cloud Engineer,26.8,80.4,-5.5,-9.3,7.1,5.1
65,Anthropic,2024-01-01,2024,January,1,FinTech,Canada,Mid-size,2564,4.8,AI Automation,Stable,3.0,3.0,1.8,2421,Hiring Freeze,Frontend Developer,26.3,-14.2,-15.2,-16.3,7.4,5.8
66,Anthropic,2024-01-01,2024,January,1,Social Media,Canada,Startup,6402,18.0,Restructuring,Stable,2.6,4.5,1.9,2377,Hiring Freeze,Frontend Developer,58.1,32.1,-10.8,-12.5,6.1,4.1
67,Anthropic,2024-01-01,2024,January,1,Cloud,Canada,Enterprise,1971,13.7,Restructuring,Stable,1.0,1.6,1.4,3079,Downsizing,DevOps Engineer,22.8,-3.0,-8.5,-0.8,5.8,6.4
68,Anthropic,2024-01-01,2024,January,1,Social Media,Germany,Big Tech,435,4.5,AI Automation,Bull Market,4.0,2.5,2.4,291,Hiring Freeze,DevOps Engineer,58.4,-1.8,50.5,28.2,6.6,7.7
69,Anthropic,2024-01-01,2024,January,1,Social Media,India,Mid-size,19893,22.3,Overhiring Correction,Recession,7.5,10.0,8.9,1054,Hiring Freeze,Product Manager,11.9,-43.2,43.3,8.1,5.0,4.3
70,Anthropic,2024-01-01,2024,January,1,E-Commerce,India,Startup,562,7.9,Overhiring Correction,Bull Market,8.8,5.9,7.5,4857,Moderate Hiring,Data Scientist,39.5,-7.6,57.4,20.7,6.4,7.2
71,Anthropic,2024-01-01,2024,January,1,FinTech,Canada,Startup,12566,27.6,AI Automation,Recession,11.6,10.0,9.2,999,Hiring Freeze,Cybersecurity Analyst,16.0,36.6,-23.4,-15.4,3.7,3.3
72,Apple,2024-01-01,2024,January,1,AI,UK,Startup,595,0.4,Overhiring Correction,Bull Market,7.9,10.0,7.9,4007,Aggressive Hiring,Data Scientist,76.0,17.6,41.7,29.4,7.3,7.0
73,Apple,2024-01-01,2024,January,1,E-Commerce,Germany,Startup,3822,11.7,Market Slowdown,Stable,1.5,5.0,1.5,1816,Hiring Freeze,DevOps Engineer,69.2,0.1,1.9,3.5,4.3,4.9
74,Apple,2024-01-01,2024,January,1,AI,Germany,Startup,494,2.6,Restructuring,Bull Market,6.2,3.5,5.3,4730,Moderate Hiring,Data Scientist,32.8,39.4,-3.5,3.8,7.7,7.8
75,Apple,2024-01-01,2024,January,1,E-Commerce,India,Mid-size,4073,12.2,Overhiring Correction,Stable,2.7,6.4,2.7,3974,Hiring Freeze,DevOps Engineer,47.4,42.0,54.7,11.7,6.1,7.8
76,Apple,2024-01-01,2024,January,1,Cybersecurity,Germany,Big Tech,2273,0.7,Restructuring,Bull Market,1.5,1.0,1.2,1316,Hiring Freeze,ML Engineer,34.6,-42.5,55.2,19.1,8.2,10.0
77,Apple,2024-01-01,2024,January,1,FinTech,Germany,Startup,1832,6.5,AI Automation,Bull Market,1.6,3.2,1.4,4256,Moderate Hiring,Product Manager,31.3,-31.7,22.6,10.3,6.0,8.0
78,Apple,2024-01-01,2024,January,1,Cloud,UK,Enterprise,6498,32.5,Restructuring,Recession,3.7,10.0,3.6,1210,Downsizing,ML Engineer,83.8,-22.6,12.1,-10.3,3.2,3.6
79,Apple,2024-01-01,2024,January,1,FinTech,UK,Mid-size,19463,9.3,Cost Cutting,Recession,5.4,8.9,7.1,212,Moderate Hiring,Data Scientist,28.4,4.2,-0.4,6.4,7.1,5.5
80,Apple,2024-01-01,2024,January,1,AI,Singapore,Big Tech,1076,3.6,Restructuring,Bull Market,9.0,8.2,7.5,5330,Moderate Hiring,ML Engineer,59.4,-13.2,50.7,25.9,7.5,7.6
81,Apple,2024-01-01,2024,January,1,Cloud,Singapore,Startup,5263,14.5,Market Slowdown,Stable,8.1,7.0,5.2,1485,Hiring Freeze,Cloud Engineer,26.4,-38.9,15.6,-1.9,7.4,5.7
82,Apple,2024-01-01,2024,January,1,AI,India,Enterprise,5130,5.6,Cost Cutting,Stable,6.7,7.0,6.0,7683,Moderate Hiring,ML Engineer,12.3,-42.0,22.7,15.8,8.5,6.8
83,Apple,2024-01-01,2024,January,1,Gaming,Singapore,Enterprise,496,5.5,Cost Cutting,Bull Market,4.8,7.7,5.9,3957,Moderate Hiring,Cybersecurity Analyst,87.1,20.5,8.4,-3.2,7.7,5.7
84,Apple,2024-01-01,2024,January,1,Gaming,UK,Enterprise,2066,2.4,Restructuring,Bull Market,5.1,8.0,4.3,3794,Moderate Hiring,Cybersecurity Analyst,16.7,71.7,38.8,8.7,7.0,6.3
85,Apple,2024-01-01,2024,January,1,FinTech,Germany,Startup,393,5.3,Overhiring Correction,Bull Market,5.0,5.8,6.1,5726,Moderate Hiring,Data Scientist,77.9,4.6,9.6,3.5,5.1,6.9
86,Databricks,2024-01-01,2024,January,1,Social Media,UK,Big Tech,17447,31.5,Market Slowdown,Recession,6.2,10.0,5.8,1381,Hiring Freeze,Frontend Developer,80.1,43.5,37.4,5.7,5.2,4.1
87,Databricks,2024-01-01,2024,January,1,FinTech,UK,Enterprise,1452,3.3,Overhiring Correction,Bull Market,5.0,2.5,4.0,845,Hiring Freeze,ML Engineer,36.8,46.8,39.1,10.1,8.2,9.2
88,Databricks,2024-01-01,2024,January,1,AI,India,Mid-size,4661,2.8,AI Automation,Stable,6.4,3.1,6.3,6864,Aggressive Hiring,ML Engineer,17.8,88.4,6.8,5.1,6.8,8.1
89,Databricks,2024-01-01,2024,January,1,FinTech,USA,Startup,4107,4.5,Cost Cutting,Stable,6.5,10.0,7.9,5567,Aggressive Hiring,Cloud Engineer,12.5,71.2,16.0,11.9,7.0,5.6
90,Databricks,2024-01-01,2024,January,1,AI,Singapore,Mid-size,4046,20.5,Restructuring,Recession,5.7,9.7,4.9,4493,Moderate Hiring,Data Scientist,67.2,79.7,44.8,19.0,8.5,5.9
91,Databricks,2024-01-01,2024,January,1,E-Commerce,India,Big Tech,17276,30.6,Restructuring,Recession,9.1,10.0,6.2,85,Downsizing,DevOps Engineer,19.1,-14.1,-11.2,-4.7,3.1,2.3
92,Databricks,2024-01-01,2024,January,1,E-Commerce,Germany,Big Tech,17468,11.4,Market Slowdown,Recession,12.7,9.7,7.6,542,Hiring Freeze,Frontend Developer,81.4,-35.2,10.9,10.8,5.1,5.1
93,Databricks,2024-01-01,2024,January,1,Gaming,Canada,Mid-size,2274,3.9,AI Automation,Bull Market,5.4,7.7,6.7,591,Moderate Hiring,DevOps Engineer,59.6,80.0,45.7,20.5,9.3,7.6
94,Databricks,2024-01-01,2024,January,1,Cybersecurity,Germany,Enterprise,15484,38.5,Overhiring Correction,Recession,2.3,7.7,1.7,1319,Downsizing,Cloud Engineer,25.1,69.5,4.3,-12.2,5.3,3.0
95,Databricks,2024-01-01,2024,January,1,Social Media,Singapore,Enterprise,2776,10.3,Market Slowdown,Stable,2.9,6.2,1.8,3410,Hiring Freeze,Software Engineer,60.3,68.5,18.6,0.3,4.9,5.3
96,Databricks,2024-01-01,2024,January,1,Social Media,Canada,Startup,113,7.6,Restructuring,Bull Market,8.6,7.7,6.4,4189,Hiring Freeze,DevOps Engineer,23.7,21.6,-20.5,-9.2,7.0,5.1
97,Databricks,2024-01-01,2024,January,1,Social Media,Germany,Big Tech,436,3.4,Market Slowdown,Bull Market,15.5,10.0,9.2,5938,Aggressive Hiring,Cybersecurity Analyst,48.3,19.9,-24.9,-0.5,4.5,4.2
98,Databricks,2024-01-01,2024,January,1,Gaming,India,Startup,1214,1.2,Market Slowdown,Bull Market,12.6,5.6,9.3,5197,Aggressive Hiring,Product Manager,38.1,16.0,48.4,25.5,9.0,8.3
99,Databricks,2024-01-01,2024,January,1,FinTech,India,Mid-size,3027,12.6,Restructuring,Stable,6.1,6.6,5.8,1476,Moderate Hiring,Cloud Engineer,53.4,-7.1,-2.8,-5.2,6.1,4.9
100,Databricks,2024-01-01,2024,January,1,Cloud,USA,Big Tech,145,8.3,Restructuring,Bull Market,9.7,9.8,9.0,3585,Moderate Hiring,Product Manager,86.6,81.5,45.2,23.5,9.3,5.8
101,Databricks,2024-01-01,2024,January,1,Social Media,Germany,Startup,1200,0.8,Cost Cutting,Bull Market,11.3,9.6,7.5,5446,Aggressive Hiring,ML Engineer,29.0,-24.2,-24.9,0.6,7.9,6.0
102,Databricks,2024-01-01,2024,January,1,Cloud,UK,Big Tech,1490,2.4,AI Automation,Bull Market,4.2,7.2,4.9,1176,Moderate Hiring,DevOps Engineer,13.8,70.9,-15.0,-13.4,4.4,5.1
103,Databricks,2024-01-01,2024,January,1,Cybersecurity,India,Big Tech,935,9.2,Cost Cutting,Bull Market,12.0,10.0,7.5,3783,Moderate Hiring,DevOps Engineer,27.6,72.2,-19.7,-1.8,4.2,3.9
104,Databricks,2024-01-01,2024,January,1,Cybersecurity,Singapore,Enterprise,1813,9.6,Overhiring Correction,Stable,9.4,7.1,6.1,1615,Moderate Hiring,Data Scientist,45.8,-11.0,-4.2,-6.2,7.1,5.6
105,Databricks,2024-01-01,2024,January,1,Gaming,Canada,Mid-size,6055,17.8,Market Slowdown,Stable,6.0,6.6,4.1,879,Hiring Freeze,Cybersecurity Analyst,81.1,68.5,35.6,20.2,8.1,6.7
106,Databricks,2024-01-01,2024,January,1,Gaming,Singapore,Startup,6953,7.9,Market Slowdown,Stable,9.3,5.9,6.1,2286,Moderate Hiring,Cloud Engineer,85.2,-32.4,-18.9,-7.9,5.5,4.8
107,Databricks,2024-01-01,2024,January,1,Cloud,Canada,Startup,1235,6.6,Market Slowdown,Bull Market,7.4,3.3,4.6,5498,Moderate Hiring,Software Engineer,61.1,40.5,55.9,16.3,8.7,9.4
108,Databricks,2024-01-01,2024,January,1,Cybersecurity,UK,Mid-size,1405,5.2,Restructuring,Stable,1.2,1.3,1.6,3114,Hiring Freeze,ML Engineer,78.8,43.1,47.0,24.9,8.0,8.3
109,Databricks,2024-01-01,2024,January,1,Cybersecurity,UK,Mid-size,1068,6.2,Overhiring Correction,Stable,6.4,3.6,8.1,2500,Moderate Hiring,Software Engineer,72.6,59.1,1.0,4.6,5.1,6.3
110,Google,2024-01-01,2024,January,1,Cybersecurity,Canada,Mid-size,6949,34.8,AI Automation,Recession,3.7,8.1,2.7,562,Downsizing,Product Manager,45.4,-32.3,-9.5,-4.2,4.5,2.6
111,Google,2024-01-01,2024,January,1,E-Commerce,India,Mid-size,1734,1.3,Overhiring Correction,Bull Market,9.0,8.6,6.0,4851,Moderate Hiring,ML Engineer,62.0,9.3,37.0,23.0,6.5,6.3
112,Google,2024-01-01,2024,January,1,Cloud,UK,Startup,1238,1.5,Overhiring Correction,Stable,4.0,4.1,3.1,3008,Moderate Hiring,Product Manager,18.1,-18.5,-3.6,-6.9,8.6,7.6
113,Google,2024-01-01,2024,January,1,Social Media,Canada,Enterprise,48,2.5,Restructuring,Bull Market,6.4,10.0,6.0,392,Hiring Freeze,Cloud Engineer,28.6,72.8,35.5,18.0,6.2,7.2
114,Google,2024-01-01,2024,January,1,Social Media,India,Startup,12811,34.0,Cost Cutting,Recession,3.9,8.5,5.5,511,Downsizing,DevOps Engineer,28.7,-15.0,-12.5,-11.0,5.8,2.0
115,Google,2024-01-01,2024,January,1,E-Commerce,Canada,Enterprise,1348,4.4,Cost Cutting,Bull Market,8.5,10.0,9.8,5114,Aggressive Hiring,Frontend Developer,40.6,-35.3,9.7,10.4,5.3,5.5
116,Google,2024-01-01,2024,January,1,Cloud,Canada,Mid-size,1852,4.3,Overhiring Correction,Bull Market,5.4,6.2,3.9,499,Hiring Freeze,DevOps Engineer,71.4,82.5,8.4,8.2,5.2,7.4
117,Google,2024-01-01,2024,January,1,Social Media,Singapore,Mid-size,13647,17.4,Market Slowdown,Recession,10.5,9.7,8.3,1948,Hiring Freeze,Software Engineer,30.5,12.2,33.4,14.7,6.4,4.9
118,Google,2024-01-01,2024,January,1,Cloud,Canada,Big Tech,1417,1.6,AI Automation,Stable,2.8,2.4,1.7,3934,Hiring Freeze,ML Engineer,84.3,80.7,37.6,5.8,7.0,8.3
119,Google,2024-01-01,2024,January,1,E-Commerce,UK,Enterprise,1684,0.4,Cost Cutting,Bull Market,7.9,7.7,7.1,1281,Moderate Hiring,Frontend Developer,21.5,59.0,36.2,12.2,9.7,7.5
120,Google,2024-01-01,2024,January,1,FinTech,UK,Startup,2179,5.0,AI Automation,Bull Market,2.5,2.2,3.0,1261,Moderate Hiring,Product Manager,75.7,-37.3,10.4,4.9,5.8,7.4
121,Google,2024-01-01,2024,January,1,E-Commerce,USA,Startup,1254,4.0,Overhiring Correction,Bull Market,4.1,6.3,6.4,1221,Moderate Hiring,Product Manager,25.5,64.3,14.9,0.3,8.5,5.9
122,Google,2024-01-01,2024,January,1,Cloud,Singapore,Enterprise,2127,0.2,Restructuring,Bull Market,6.9,7.2,6.1,366,Moderate Hiring,Product Manager,69.2,44.8,13.0,7.4,8.7,6.2
