sub-program,program,url,description,tags
"Talente Spenden","Student Projects","https://www.tum.de/en/studies/fees-and-financial-aid/scholarships/tum-scholarships/","Runs volunteer projects including tutoring for refugees.","volunteering, tutoring, refugees, education, community"
"AIS-Munich","Student Projects","https://www.ais-munich.org/","Supports Iranian students and presents a holistic picture of Iranian culture.","Iran, culture, international students, community, diversity"
"Albanian Student Society at TUM","Student Projects","-","Community for Albanian students at TUM.","Albania, culture, international students, community, networking"
"German Chinese Student Club","Student Projects","-","Cultural and social club for German and Chinese students at TUM.","China, Germany, cultural exchange, international, community"
"Hongkong-Macau Student Society","Student Projects","-","Community for students from Hong Kong and Macau.","Hong Kong, Macau, culture, international students, community"
"ISAS Munich","Student Projects","https://www.isas-muenchen.de/","South Tyrolean community organizing social events like card tournaments and pub quizzes.","South Tyrol, culture, community, social events, international"
"Japanese Culture Club Munich","Student Projects","-","Promotes Japanese culture, language, and community at TUM.","Japan, culture, language, international students, community"
"LSM","Student Projects","https://lsm.lu/","Luxembourgian student group with over 200 active members in Munich.","Luxembourg, community, international students, networking, culture"
"MUNTUM","Student Projects","https://www.muntum.org/","Society for politically interested students building debate skills at conferences.","politics, debate, MUN, conferences, international relations"
"Pakistani Students Association Munich","Student Projects","-","Community and support network for Pakistani students in Munich.","Pakistan, community, international students, culture, networking"
"TUM Canadian Students Association","Student Projects","-","Social and professional network for Canadian students at TUM.","Canada, community, international students, networking, culture"
"Turkish Club","Student Projects","-","Cultural and social club for Turkish students at TUM.","Turkey, culture, community, international students, networking"
"Edunovo","Student Projects","-","Student initiative focused on innovative educational approaches and learning design.","education, innovation, learning design, teaching, mentoring"
"Legmon e.V. München","Student Projects","-","Legal mentoring initiative connecting law students with professionals.","law, mentoring, legal, career, networking"
"she.codes by TEC","Student Projects","https://codes.education","Inspires and encourages girls for STEM topics through workshops and programs.","STEM, girls in tech, education, workshops, diversity"
"Studenten bilden Schüler","Student Projects","https://studenten-bilden-schueler.de/standorte/muenchen","Volunteer tutoring program for socially disadvantaged school pupils.","tutoring, education, volunteering, social equity, mentoring"
"Beta Sigma Club","Student Projects","-","Selective networking club for ambitious students across disciplines.","networking, leadership, selective, community, career"
"ESN TUMi","Student Projects","https://tumi.esn.world/events","Organizes events for exchange and international students in Munich.","international students, Erasmus, events, social, exchange"
"MUN Centenarians","Student Projects","-","Model UN group preparing students for international conference simulations.","Model UN, diplomacy, debate, international relations, conferences"
"Munich FinanceCircle","Student Projects","https://www.linkedin.com/company/munichfinancecircle","Hosts exclusive networking events and workshops for finance-interested students.","finance, networking, investment, workshops, career"
"MUNIQUANT","Student Projects","-","Quantitative finance and trading student group in Munich.","quant finance, trading, mathematics, finance, career"
"Real Estate Association Munich","Student Projects","-","Student group focused on real estate, investment, and urban development.","real estate, investment, urban development, networking, career"
"Society of Sommeliers","Student Projects","https://www.societyofsommeliers.de/","Wine education and tasting community for connoisseurs and curious students.","wine, sommelier, culture, tasting, education"
"SRM Talks","Student Projects","https://www.linkedin.com/company/srmtalks","Monthly talks with sustainability industry experts for knowledge and career connections.","sustainability, talks, industry experts, networking, career"
"START Munich","Student Projects","https://www.startmunich.de/","Munich's biggest student club focused on entrepreneurship, startups, and innovation.","entrepreneurship, startup, innovation, networking, community"
"Stipendiennetzwerk München","Student Projects","https://stipendiennetzwerk.de/","Promotes exchange among scholarship recipients of 13 foundations in Munich.","scholarships, networking, foundations, community, career"
"The Entrepreneurial Group","Student Projects","https://www.teg-ev.de","Enables students to start their entrepreneurial journey through mentorship and community.","entrepreneurship, startup, mentorship, community, innovation"
"TU Innoforge","Student Projects","-","Student innovation lab and maker community at TUM.","innovation, maker, projects, engineering, community"
"TUM Business Club","Student Projects","-","Business networking and career development club for TUM students.","business, networking, career, management, community"
"TUM Speakers Series","Student Projects","-","Student-organized speaker series bringing industry and academic leaders to campus.","speakers, talks, leadership, industry, inspiration"
"BioMatrix","Student Projects","-","Student research group in biological systems and bioinformatics.","biology, bioinformatics, research, life sciences, systems biology"
"Electrochemical Society Student Chapter","Student Projects","-","TUM student chapter of the international electrochemical society.","electrochemistry, materials science, research, energy, batteries"
"EyeVoices","Student Projects","-","Project using eye-tracking technology for assistive communication.","assistive tech, eye-tracking, accessibility, health tech, innovation"
"iGEM Munich","Student Projects","https://igemmunich.mwn.de","TUM/LMU joint team competing in the international synthetic biology competition (iGEM).","synthetic biology, iGEM, competition, biotechnology, research"
"JungesChemieForum","Student Projects","-","Young chemists' forum for students interested in chemistry and chemical industry.","chemistry, research, career, student forum, industry"
"Mathly","Student Projects","-","Math education and tutoring platform developed by TUM students.","mathematics, education, tutoring, platform, edtech"
"Munich Bioneers","Student Projects","-","Group exploring biology-inspired innovations and bio-entrepreneurship.","biology, innovation, entrepreneurship, life sciences, research"
"neuroTUM","Student Projects","https://www.neurotum.com/","Develops a brain-computer interface using machine learning for assistive applications.","BCI, brain-computer interface, machine learning, neuroscience, assistive tech"
"OneAIM","Student Projects","-","Student group focused on responsible AI development and AI governance.","AI, ethics, governance, research, technology"
"PolisTec","Student Projects","-","Group exploring the intersection of technology and political/social systems.","tech policy, politics, society, governance, research"
"SociAl Club","Student Projects","-","Group at the intersection of social sciences and artificial intelligence.","AI, social science, interdisciplinary, research, society"
"TIDE","Student Projects","-","Student research initiative in technology, innovation, and digital ecosystems.","technology, innovation, digital, research, ecosystems"
"TU Investment Club","Student Projects","https://tuinvest.de/","Educates students interested in financial markets and investment strategies.","investment, finance, stock market, education, career"
"TUM Dev","Student Projects","https://tum.dev","Develops open-source websites and apps for TUM students.","open source, software development, apps, community, engineering"
"TUM.ai","Student Projects","-","AI student initiative building projects and fostering AI knowledge at TUM.","artificial intelligence, machine learning, projects, community, research"
"TUM Verdauungskanal","Student Projects","-","Student project in food science and digestion research.","food science, digestion, research, biotechnology, health"
"Akaflieg Munich","Student Projects","https://www.akaflieg.vo.tum.de","Since 1924, designs, builds, and flies student-built gliders and motor airplanes.","aerospace, gliders, aviation, engineering, student project"
"Asclepios Lab Munich","Student Projects","-","Student research lab in medical and health engineering.","medical engineering, health tech, research, biomedical, innovation"
"Bioinformatics Munich Student Lab","Student Projects","https://bmsl.dev/","Applies computational techniques and AI in biology and medicine.","bioinformatics, AI, computational biology, medicine, research"
"DASH","Student Projects","https://tumdash.com/","Develops a lower-limb exoskeleton for fully paraplegic patients.","exoskeleton, medical robotics, accessibility, rehabilitation, biomedical"
"Elara Aerospace","Student Projects","https://elara-aerospace.com/","Aims to create the first student-built methalox rocket.","rocketry, aerospace, propulsion, deep tech, engineering"
"EnHands","Student Projects","https://enhands.de","Develops accessible, affordable, and customizable hand prostheses.","prosthetics, medical devices, accessibility, biomedical, engineering"
"GOOSE","Student Projects","-","Student group in autonomous systems and embedded engineering.","autonomous systems, embedded, robotics, engineering, research"
"HackerFab Munich","Student Projects","-","Open-source semiconductor fabrication lab run by students.","semiconductors, fabrication, hardware, open source, engineering"
"HORYZN","Student Projects","-","Student group developing autonomous drones and aerial systems.","drones, UAV, autonomous systems, aerospace, engineering"
"Impetus Sailing Team","Student Projects","https://www.impetussailing.de/","Develops high-performance and sustainable sailing boats.","sailing, marine engineering, sustainability, competition, high performance"
"LEVITUM","Student Projects","https://www.levitum.de","Developing the world's longest-range eVTOL drone using hydrogen fuel cells.","eVTOL, drone, hydrogen, aerospace, deep tech"
"MedTech OneWorld Students","Student Projects","https://medtechoneworldstudents.wordpress.com/","Works on medtech projects addressing healthcare challenges in developing countries.","medtech, global health, developing countries, biomedical, humanitarian"
"Nautum","Student Projects","http://www.nautum.de","Advances ocean exploration through innovative marine technology.","marine technology, ocean exploration, engineering, sustainability, research"
"Odonatum","Student Projects","-","Student group in computational design and digital fabrication.","computational design, digital fabrication, architecture, engineering, innovation"
"Phantum","Student Projects","-","Student team in quantum hardware and photonics research.","quantum, photonics, hardware, deep tech, research"
"RoboTUM","Student Projects","https://www.robotum.info/","Bridges academia and industry in robotics through projects and competitions.","robotics, automation, industry, engineering, competitions"
"TUfast","Student Projects","-","Formula Student racing team building electric and autonomous racing cars.","Formula Student, racing, electric vehicles, automotive, engineering"
"TUM Air","Student Projects","-","Student project developing fixed-wing unmanned aerial vehicles.","UAV, aerospace, fixed-wing, engineering, student project"
"TUM Drone Racing Club","Student Projects","-","Student club for FPV drone racing and aerial robotics.","drone racing, FPV, robotics, sport, engineering"
"TUM Phoenix Robotics","Student Projects","https://www.epc.ed.tum.de/en/phoenix/tum-phoenix-robotics/","Works on autonomous driving and flying robot systems.","autonomous driving, flying robots, robotics, autonomous systems, engineering"
"WARR","Student Projects","https://www.warr.de/en","Biggest student group at TUM working on space projects including Hyperloop and rockets.","space, hyperloop, rockets, engineering, student research"
"Faculties Football League","Student Projects","https://faculties-football-league.jimdosite.com/","Interdisciplinary football league for TUM students organized by faculty.","football, sport, competition, community, interdisciplinary"
"Munich eSports","Student Projects","https://munich-esports.de/","Supports esports with student teams and organizes tournaments.","esports, gaming, competition, teams, community"
"TSM Championship","Student Projects","-","Student motorsport championship organized at TUM.","motorsport, competition, sport, engineering, community"
"TUM HN Hiking Club","Student Projects","-","Hiking and outdoor adventure club for TUM Heilbronn students.","hiking, outdoors, nature, sport, community"
"1.000+","Project Week","https://1000plus.cit.tum.de/","Master's students work in teams with SMEs to analyze real business challenges and develop solutions through interviews and practical problem-solving.","SME, consulting, business analysis, teamwork, applied"
"AI at Work: Bridging Theory and Practice","Project Week","https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950834059","Combines AI theory with practice; students run a hackathon with partner companies to solve real business problems.","AI, hackathon, business applications, industry partnership, applied AI"
"AI in the Metaverse","Project Week","https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950876890","Build and operate a virtual society where LLM-controlled agents interact in a 3D environment using Godot 4.3.","LLM, metaverse, agents, simulation, game engine"
"AI Meets Antitrust","Project Week","https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950873466","Develop an AI system to detect cartel collusion through legal tech and classification model training.","legal tech, AI, antitrust, classification, NLP"
"AI, Society and Governance","Project Week","https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950842020","Examines generative AI's societal impact; students conduct red-teaming and adversarial testing on LLMs.","AI governance, LLM, red-teaming, society, policy"
"Data Design Studio for AI-Powered EdTech","Project Week","https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950841243","Students design data collection strategies for AI-powered education technologies addressing real learning problems.","edtech, data design, AI, learning, product"
"Data Ethics in Practice","Project Week","https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950872167","Work with Austria's national public health institute on data management and ethics in the European Health Data Space.","data ethics, health data, EU policy, public health, EHDS"
"Decision Education","Project Week","https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950841142","Explores cognitive biases and judgment research to develop decision-making education programs.","decision-making, cognitive biases, education, behavioral science, psychology"
"Die Finite-Elemente-Methode für Fluid-Struktur-Wechselwirkung","Project Week","https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950838571","Students simulate coupled fluid-structure interactions using Kratos Multiphysics open-source software.","FEM, fluid-structure, simulation, open source, computational engineering"
"GovTech Innovation Lab","Project Week","https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950869393","Applies design thinking to government digitalization; teams develop GovTech solutions and prototypes.","GovTech, design thinking, digitalization, government, prototyping"
"Hackathon: Hacking TUM for Diversity!","Project Week","https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950842121","Interdisciplinary hackathon addressing diversity, equity, and inclusion challenges on campus and beyond.","DEI, hackathon, diversity, inclusion, interdisciplinary"
"Phish & Chips - Cyber Protection for Non-Profits","Project Week","https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950886504","Students develop cybersecurity knowledge and create tailored awareness materials for nonprofit organizations.","cybersecurity, phishing, nonprofit, awareness, digital safety"
"Regulation of Digital Markets in Africa","Project Week","https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950873062","Examines African digital market regulation and develops competition oversight proposals for regional frameworks.","digital markets, Africa, regulation, competition law, policy"
"Responsible, Sustainable, and Inclusive Digital Product Creation","Project Week","https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950841071","Teams design digital solutions incorporating social responsibility, environmental sustainability, and inclusivity.","responsible tech, sustainability, inclusive design, digital product, ethics"
"Towards Inclusive AI Cultural-Companion: Pepper","Project Week","https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950849037","Develop a culturally sensitive AI companion prototype using the Pepper robot for interactive dialogue design.","human-robot interaction, AI, Pepper robot, cultural sensitivity, dialogue"
"ChangeMakers: Entrepreneurial and Design Competencies","Project Week","https://www.ie.mgt.tum.de/en/ent/teaching/courses/seminar-changemakers-entrepreneurial-and-design-competencies-for-societal-transformation/","Students develop creative solutions for societal challenges using future scenario simulations in interdisciplinary teams.","entrepreneurship, design thinking, societal challenges, futures, interdisciplinary"
"Communicating Curiosity - Science Communication Pop-Up Exhibition","Project Week","https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.tm.cp/student/courses/950842307","Design and implement an interactive pop-up exhibition on public trust in science with hands-on activities.","science communication, exhibition, public engagement, trust in science, design"
"Constructing Logics: Integrated Architectural Design","Project Week","-","Explores structural integration and climate-responsive design through large-scale physical model construction.","architecture, structural engineering, climate-responsive, design, model-making"
"UnternehmerTUM (main)","UnternehmerTUM","https://www.unternehmertum.de/en","Europe's largest university-linked entrepreneurship and innovation center, supporting founders and innovators from idea to scale.","entrepreneurship, innovation, startup, ecosystem, TUM"
"Manage and More","UnternehmerTUM","https://www.manageandmore.de/","Elite scholarship program for TUM and LMU students combining management education, mentorship, and a network of top industry leaders.","scholarship, leadership, management, network, mentorship"
"Xpreneurs","UnternehmerTUM","https://xpreneurs.io/","Incubator for deep-tech startups from TUM and the broader Munich ecosystem, offering funding, coaching, and investor access over a focused batch program.","incubator, deep-tech, funding, startup, coaching"
"Academy for Innovators","UnternehmerTUM","https://academy.unternehmertum.de/","Online and offline learning platform offering courses, bootcamps, and programs on entrepreneurship, design thinking, and digital skills.","online learning, bootcamp, innovation, design thinking, skills"
"Leadership Training Academy (LTA)","UnternehmerTUM","https://www.unternehmertum.de/en/services/leadership-talent-academy","Structured leadership development program combining workshops, coaching, and real-world projects to build entrepreneurial leadership skills.","leadership, personal development, coaching, entrepreneurship, workshops"
"Executive MBA","UnternehmerTUM","https://www.lll.tum.de/en/master-mba/mba-programs/executive-mba/","Part-time TUM MBA for working professionals and executives, focused on strategic management, innovation, and leadership.","MBA, executive education, part-time, strategy, management"
"Digital Product School (DPS)","UnternehmerTUM","https://www.digitalproductschool.io/","3-month, project-based full-time program training software engineers, product managers, and UX designers to build digital products in cross-functional teams.","product management, UX, software engineering, cross-functional, agile"
"Entrepreneurial Club","UnternehmerTUM","https://www.tum.de/en/innovation/entrepreneurship/for-entrepreneurship-enthusiasts/","Student-run hub connecting entrepreneurship-minded TUM students through events, talks, and peer networking.","student club, networking, events, startup community, peer learning"
"TUM Venture Labs (main)","TUM Venture Labs","https://www.tum-venture-labs.de/","TUM's network of sector-specific startup labs providing workspace, community, and support for early-stage founders.","startup lab, venture building, founders, technology, ecosystem"
"Additive Manufacturing","TUM Venture Labs","https://www.tum-venture-labs.de/labs/additive-manufacturing/","Lab for groundbreaking developments in disruptive materials, shapes, and production processes.","additive manufacturing, 3D printing, materials, production, deep tech"
"Quantum / Semicon","TUM Venture Labs","https://www.tum-venture-labs.de/labs/quantum/","Focal point for entrepreneurial action in quantum technologies, deep physics, and semiconductors.","quantum computing, semiconductors, deep physics, deep tech, hardware"
"Mobility","TUM Venture Labs","https://www.tum-venture-labs.de/labs/mobility/","Lab supporting startups in mobility, transportation, and autonomous systems.","mobility, transportation, autonomous, automotive, deep tech"
"Built Environment","TUM Venture Labs","https://www.tum-venture-labs.de/labs/built-environment/","Supports scalable deep-tech startups in civil and environmental engineering, architecture, and design.","construction tech, civil engineering, architecture, environment, deep tech"
"Food / Agro / Biotech","TUM Venture Labs","https://www.tum-venture-labs.de/labs/food-agro-biotech/","Drives innovation in life sciences for a sustainable planet and food system.","food tech, agritech, biotech, life sciences, sustainability"
"Chem / Biosystems","TUM Venture Labs","https://www.tum-venture-labs.de/labs/chem-biosystems/","Chemistry-based entrepreneurship spanning drug design, protein assembly, catalysis, and energy.","chemistry, biosystems, drug design, catalysis, deep tech"
"Healthcare","TUM Venture Labs","https://www.tum-venture-labs.de/labs/healthcare/","Supports spin-offs in biomedicine, medical technology, and digital health applications.","healthtech, medtech, digital health, biomedicine, life sciences"
"Robotics / AI","TUM Venture Labs","https://www.tum-venture-labs.de/labs/robotics-ai/","Fosters robotics, AI, and communication technology innovations with infrastructure and technical support.","robotics, AI, automation, deep tech, engineering"
"Climate / Circular","TUM Venture Labs","https://www.tum-venture-labs.de/labs/climate-circular/","Translates deep-tech research into scalable, circular businesses with global reach.","climate tech, circular economy, sustainability, deep tech, green startup"
"Aerospace / Defense","TUM Venture Labs","https://www.tum-venture-labs.de/labs/aerospace-defense/","Supports entrepreneurial vision in aeronautics, space, and geodesy with industrial network support.","aerospace, defense, space tech, aeronautics, deep tech"
"Software & AI / Munich","TUM Venture Labs","https://www.tum-venture-labs.de/labs/software-ai/","Scales disruptive business ideas with societal impact and AI focus at the Munich hub.","software, AI, SaaS, societal impact, startup"
"Software & AI / Heilbronn","TUM Venture Labs","https://www.tum-venture-labs.de/labs/software-ai-heilbronn/","Software and AI startup lab at the TUM Heilbronn campus.","software, AI, Heilbronn, startup, tech"
"Legal Tech Colab","TUM Venture Labs","https://legaltechcolab.com/","Hub for startups with law at the heart of their business model.","legal tech, law, startup, innovation, compliance"
"Idea to Reality","TUM Venture Labs","https://www.tum-venture-labs.de/offerings/idealab-workshop/","Hands-on workshop series guiding students from early idea through validation, prototyping, and pitching.","ideation, validation, prototyping, pitching, early-stage"
"Join a Startup","TUM Venture Labs","https://www.tum-venture-labs.de/offerings/students/","Connects TUM students with early-stage startups in the Venture Labs community for project-based or part-time roles.","talent matching, startup experience, student roles, internship, community"
