name,description,website,logo_url
Coding for Change,Coding for Change empowers NGOs to create greater social impact through digital innovation.,http://codingforchange.com,https://www.sv.tum.de/fileadmin/_processed_/c/4/csm_C4C_Logo_cf7fba6843.webp
Culture Club,"Enjoy culture is our Motto. We visit theatres, cinemas, or museums together.",https://kulturklub.wixsite.com/kulturklub,https://www.sv.tum.de/fileadmin/_processed_/9/a/csm_Kulturklub_2819c7d399.webp
DASH,DASH develops a lower-limb exoskeleton for fully paraplegic patients to help them regain mobility.,https://tumdash.com/,https://www.sv.tum.de/fileadmin/_processed_/4/b/csm_DASH_e1877fdd94.webp
EA Munich,"We try to find ways we can do as much good as possible. Instead of just doing what feels right, we use evidence and careful reasoning.",https://bit.ly/ea_munich_signup,https://www.sv.tum.de/fileadmin/_processed_/3/d/csm_Effektiver_Altruismus_18558b9166.webp
EESTEC LC Munich,Our aim as EESTEC is developing international contacts as well as encouraging the exchange of ideas among EECS students.,https://eestec-muc.de/,https://www.sv.tum.de/fileadmin/w00bdj/www/Hochschulgruppen/Logos/EESTEC_LC.svg
EMSA,"As an NGO founded in Brussels in 1991, EMSA aims to represent the interests and opinions of European medical students.",https://www.sv.tum.de/med/projekte/emsa/,https://www.sv.tum.de/fileadmin/_processed_/a/6/csm_EMSA_a0f4140398.webp
ESN TUMi,"We organise events for exchange and international students, running the gamut from excursions and cultural events to sports and parties.",https://tumi.esn.world/events,https://www.sv.tum.de/fileadmin/w00bdj/www/Hochschulgruppen/Logos/ESN_TUMi.svg
EUROAVIA Munich,"EUROAVIA Munich promotes aerospace knowledge, professional development, and international networking among students.",https://linktr.ee/euroavia.munich,https://www.sv.tum.de/fileadmin/_processed_/1/0/csm_Euroavia_e27f52f24a.webp
Edunovo,,,https://www.sv.tum.de/fileadmin/_processed_/d/3/csm_hsg-placeholder_e3b7e51983.webp
Elara Aerospace,Into space and far beyond: Elara Aerospace is aiming to create the first student-built Methalox rocket to reach 100 km.,https://elara-aerospace.com/,https://www.sv.tum.de/fileadmin/_processed_/9/2/csm_Elara_Aerospace_b13b702e30.webp
Electrochemical Society Student Chapter,,,https://www.sv.tum.de/fileadmin/_processed_/d/3/csm_hsg-placeholder_e3b7e51983.webp
EnHands,"We are a student group aiming to develop accesible, affordable and customizable hand prostheses for developing countries.",https://enhands.de,https://www.sv.tum.de/fileadmin/w00bdj/www/Hochschulgruppen/Logos/EnHands.svg
Enactus Munich,We’re a student organization focused on social entrepreneurship. Our 6 projects in 5 countries tackle sustainable development goals.,https://enactus-muenchen.de/,https://www.sv.tum.de/fileadmin/_processed_/1/d/csm_Enactus_8e481acadf.webp
Ethics in Academia,,,https://www.sv.tum.de/fileadmin/_processed_/d/3/csm_hsg-placeholder_e3b7e51983.webp
EyeVoices,,,https://www.sv.tum.de/fileadmin/_processed_/d/3/csm_hsg-placeholder_e3b7e51983.webp
Faculties Football League,We’re a football league for TUM students where teams from different faculties have a chance to compete against each other.,https://faculties-football-league.jimdosite.com/,https://www.sv.tum.de/fileadmin/_processed_/a/8/csm_FFL_a168ad0f2b.webp
Family Business Club,The Family Business Club is an initiative at the TUM School of Management aimed at students interested in family businesses.,https://www.family-business-club.de,https://www.sv.tum.de/fileadmin/_processed_/7/8/csm_FBCLogo_transparent_7d011b581b.webp
Fusian Dance Crew,"We are an international dance crew focused on mixed hip-hop. We train, perform and build a fun community along the way.",https://msha.ke/fusiandance,https://www.sv.tum.de/fileadmin/_processed_/5/2/csm_Fusian_Dance_Crew_16b2102273.webp
Future Builders Munich,,,https://www.sv.tum.de/fileadmin/_processed_/d/3/csm_hsg-placeholder_e3b7e51983.webp
GOOSE,,,https://www.sv.tum.de/fileadmin/_processed_/d/3/csm_hsg-placeholder_e3b7e51983.webp
German Chinese Student Club,,,https://www.sv.tum.de/fileadmin/_processed_/d/3/csm_hsg-placeholder_e3b7e51983.webp
Global Shapers Munich,,,https://www.sv.tum.de/fileadmin/_processed_/d/3/csm_hsg-placeholder_e3b7e51983.webp
HORYZN,,,https://www.sv.tum.de/fileadmin/_processed_/d/3/csm_hsg-placeholder_e3b7e51983.webp
HackerFab Munich,,,https://www.sv.tum.de/fileadmin/_processed_/d/3/csm_hsg-placeholder_e3b7e51983.webp
Hongkong-Macau Student Society,,,https://www.sv.tum.de/fileadmin/_processed_/d/3/csm_hsg-placeholder_e3b7e51983.webp
IAESTE an der TUM e. V.,,,https://www.sv.tum.de/fileadmin/_processed_/d/3/csm_hsg-placeholder_e3b7e51983.webp
IKOM,We make networking personal. Germany’s largest student-run career forum.,https://www.ikom-tum.de,https://www.sv.tum.de/fileadmin/w00bdj/www/Hochschulgruppen/Logos/IKOM.svg
ISAS Munich,"South Tyrolean spirit at TUM! Join our card tournaments, pub quizzes & networking. We blend alpine vibes with vibrant campus culture for everyone.",https://www.isas-muenchen.de/,https://www.sv.tum.de/fileadmin/_processed_/3/a/csm_logo_isas_schlern_a346e6cfc4.webp
Impetus Sailing Team,"Since 2023, we’ve been developing, building and using high-performance sailing boats. We focus on efficient, lightweight and sustainable designs.",https://www.impetussailing.de/,https://www.sv.tum.de/fileadmin/_processed_/0/e/csm_Impetus_Sailing_Team_6943557fe4.webp
Ingenieure ohne Grenzen,Development cooperation: Using technical know-how to improve people's living conditions and help the world grow together.,https://www.ingenieure-ohne-grenzen.org/en/node/1638,https://www.sv.tum.de/fileadmin/_processed_/6/9/csm_Ingenieure_Ohne_Grenzen_a09ea1e48a.webp
Innovis VC,"Innovis VC is Europe’s fastest growing student initiative at the intersection of startups, students and investors.",https://www.innovis.vc/,https://www.sv.tum.de/fileadmin/w00bdj/www/Hochschulgruppen/Logos/Innovis_VC.svg
Japanese Culture Club Munich,,,https://www.sv.tum.de/fileadmin/_processed_/d/3/csm_hsg-placeholder_e3b7e51983.webp
JungesChemieForum,,,https://www.sv.tum.de/fileadmin/_processed_/d/3/csm_hsg-placeholder_e3b7e51983.webp
LBV-HSG Freising,"We like to discover nature, deepen our species knowledge and have a good time outside by organizing excursions, lectures and more.",https://freising.lbv.de/hochschulgruppe/,https://www.sv.tum.de/fileadmin/_processed_/0/b/csm_LBV-HSG-Freising-Logo_460x284px_f645d1c348.webp
LEVITUM,We want to develop the world’s longest-range eVTOL drone below 25 kg take-off mass by using a hydrogen fuel cell system.,https://www.levitum.de,https://www.sv.tum.de/fileadmin/_processed_/d/6/csm_LEVITUM_ecf649aa01.webp
LSM,This group of Luxembourgian students in Munich counts over 200 active members that offers a group to get to know others.,https://lsm.lu/,https://www.sv.tum.de/fileadmin/_processed_/3/c/csm_Letzeburger_Studenten_zu_Mu__nchen_d6e64478af.webp
Legmon e. V. München,,,https://www.sv.tum.de/fileadmin/_processed_/d/3/csm_hsg-placeholder_e3b7e51983.webp
MUN Centenarians,,,https://www.sv.tum.de/fileadmin/_processed_/d/3/csm_hsg-placeholder_e3b7e51983.webp
MUNIQUANT,,,https://www.sv.tum.de/fileadmin/_processed_/d/3/csm_hsg-placeholder_e3b7e51983.webp
MUNTUM,"As a society for politically interested students from all degrees, we build debating skills and broaden horizons at international conferences.",https://www.muntum.org/,https://www.sv.tum.de/fileadmin/w00bdj/www/Hochschulgruppen/Logos/MUNTUM.svg
Mary's Meals,,,https://www.sv.tum.de/fileadmin/_processed_/d/3/csm_hsg-placeholder_e3b7e51983.webp
Mathly,,,https://www.sv.tum.de/fileadmin/_processed_/d/3/csm_hsg-placeholder_e3b7e51983.webp
MedTech OneWorld Students,"Together with local partners, we work on medtech projects which focus on needs of developing countries. Students in all areas are welcome.",https://medtechoneworldstudents.wordpress.com/,https://www.sv.tum.de/fileadmin/_processed_/9/1/csm_MedTech_OneWorld_Students_21cce0849f.webp
Munich Animal Rights Club,"We organize talks, discussions, social events and engage with students on campus to further the debate on how we view animals.",https://www.municharc.de/,https://www.sv.tum.de/fileadmin/_processed_/2/3/csm_Munich_Animal_Rights_Club_a4fca31342.webp
Munich Bioneers,,,https://www.sv.tum.de/fileadmin/_processed_/d/3/csm_hsg-placeholder_e3b7e51983.webp
Munich Comp. Math Club,"We prepare for and participate in math competitions, primarily the International Mathematics Competition for University Students (IMC).",https://mc-squared.jimdosite.com/,https://www.sv.tum.de/fileadmin/_processed_/2/3/csm_Munich_Competitive_Math_Club_3c0b66a2cc.webp
Munich Debate Club,Since 2001 we offer a place for friendly debates and participate in German and international competitions.,https://www.debattierclub-muenchen.de/,https://www.sv.tum.de/fileadmin/_processed_/d/2/csm_Debattierclub_Muenchen_0073f35ce9.webp
Munich FinanceCircle,The Munich FinanceCircle gives students passionate about finance access to exclusive networking events and workshops with partners.,https://www.linkedin.com/company/munichfinancecircle,https://www.sv.tum.de/fileadmin/_processed_/c/f/csm_Munich_FinanceCircle_1fb66dfa3d.webp
Munich Music Labs,,,https://www.sv.tum.de/fileadmin/_processed_/d/3/csm_hsg-placeholder_e3b7e51983.webp
Munich eSports,"We support esports at TUM—with teams for the German university league, gaming nights, viewing parties, tournaments and more!",https://munich-esports.de/,https://www.sv.tum.de/fileadmin/w00bdj/www/Hochschulgruppen/Logos/Munich_eSports.svg
Muslimische Studenteninitiative,,,https://www.sv.tum.de/fileadmin/_processed_/d/3/csm_hsg-placeholder_e3b7e51983.webp
NACHHOELZER,Initiative for student culture at the inner city campus. A place for exchange that promotes interfaculty and interdisciplinary interaction.,https://www.instagram.com/nachhoelzer/,https://www.sv.tum.de/fileadmin/_processed_/3/f/csm_Nachhoelzer_da0fbe128d.webp
Nautum,"We bring together students from all disciplines, to advance ocean exploration through innovative marine technology.",http://www.nautum.de,https://www.sv.tum.de/fileadmin/_processed_/2/c/csm_Nautum_Logo_96bcc883e1.webp
Nightline München,The Nightline is a helpline by students for students. We will listen to any issues or problems you might have at university or elsewhere.,https://www.nightline-muc.de/de,https://www.sv.tum.de/fileadmin/_processed_/5/4/csm_Nightline_Muenchen_6a242f4f20.webp
Nucleate Germany,Nucleate is a global organization that facilitates the formation of biotech companies and empowers the next generation of leaders in the field.,https://nucleate.xyz/,https://www.sv.tum.de/fileadmin/w00bdj/www/Hochschulgruppen/Logos/Nucleate_Germany.svg
Odonatum,,,https://www.sv.tum.de/fileadmin/_processed_/d/3/csm_hsg-placeholder_e3b7e51983.webp
OneAIM,,,https://www.sv.tum.de/fileadmin/_processed_/d/3/csm_hsg-placeholder_e3b7e51983.webp
Pakistani Students Association Munich,,,https://www.sv.tum.de/fileadmin/_processed_/d/3/csm_hsg-placeholder_e3b7e51983.webp
Phantum,,,https://www.sv.tum.de/fileadmin/_processed_/d/3/csm_hsg-placeholder_e3b7e51983.webp
Philosophia Munich,"We discuss modern philosophy to foster understanding of ethics, society, and the universe.",https://www.philosophiamunich.org/,https://www.sv.tum.de/fileadmin/_processed_/3/5/csm_Philosophia_Mu__nchen_e2a754852c.webp
Plant-Based Universities Munich,,,https://www.sv.tum.de/fileadmin/_processed_/d/3/csm_hsg-placeholder_e3b7e51983.webp
PolisTec,,,https://www.sv.tum.de/fileadmin/_processed_/d/3/csm_hsg-placeholder_e3b7e51983.webp
Political and Economic Education Association,,,https://www.sv.tum.de/fileadmin/_processed_/d/3/csm_hsg-placeholder_e3b7e51983.webp
Praias do Isar,Praias do Isar is a Rio style samba school that offers both percussion and dance classes.,https://praiasdoisar.de,https://www.sv.tum.de/fileadmin/w00bdj/www/Hochschulgruppen/Logos/Praias_do_Isar.svg
Public Makers,,,https://www.sv.tum.de/fileadmin/_processed_/d/3/csm_hsg-placeholder_e3b7e51983.webp
PushQuantum,,,https://www.sv.tum.de/fileadmin/_processed_/d/3/csm_hsg-placeholder_e3b7e51983.webp
ROCK YOUR LIFE! Munich,Our mentoring program connects university students and middle school students for educational justice and equal opportunities.,https://muenchen.rockyourlife.de/,https://www.sv.tum.de/fileadmin/_processed_/8/b/csm_Rock_Your_Life_5d5fe95fb9.webp
Real Estate Association Munich,,,https://www.sv.tum.de/fileadmin/_processed_/d/3/csm_hsg-placeholder_e3b7e51983.webp
RoboTUM,"RoboTUM bridges academia and industry, offering students opportunities to become globally connected roboticists.",https://www.robotum.info/,https://www.sv.tum.de/fileadmin/_processed_/4/7/csm_RoboTUM_8eccc2238a.webp
SRM Talks,Monthly talks with experts from the sustainability industry followed by a networking dinner.,https://www.linkedin.com/company/srmtalks,https://www.sv.tum.de/fileadmin/_processed_/9/b/csm_SRM_Talks_1b2646759b.webp
START Munich,"As Munich's biggest student club focused on entrepreneurship, our community of grants members direct access to the start-up ecosystem.",https://www.startmunich.de/,https://www.sv.tum.de/fileadmin/_processed_/7/b/csm_START_Munich_1e27ab7456.webp
Sailsetters,,,https://www.sv.tum.de/fileadmin/_processed_/d/3/csm_hsg-placeholder_e3b7e51983.webp
School of Transformation,"SOFT is an intersectional feminist collective. We engage with feminist practices in education, work, and self-organization.",https://www.schooloftransformation.eu/,https://www.sv.tum.de/fileadmin/_processed_/e/0/csm_SOFT_a4d5b86566.webp
SociAl Club,,,https://www.sv.tum.de/fileadmin/_processed_/d/3/csm_hsg-placeholder_e3b7e51983.webp
Society of Sommeliers,"With us it's all about wine! Whether you are new to this fascinating topic or just want to develop your palate even further, this is the place for you.",https://www.societyofsommeliers.de/,https://www.sv.tum.de/fileadmin/_processed_/7/f/csm_Society_of_Sommeliers_dbb0f99e0d.webp
Stipendiennetzwerk München,We promote the exchange between scholarship recipients of 13 foundations in Munich and inform young people about scholarships.,https://stipendiennetzwerk.de/,https://www.sv.tum.de/fileadmin/w00bdj/www/Hochschulgruppen/Logos/Stipendiennetzwerk_Mu__nchen.svg
Studenten bilden Schüler,"As a volunteer with us, you’ll help socially disadvantaged school pupils – as a tutor in subjects of your choice or through organization.",https://studenten-bilden-schueler.de/standorte/muenchen,https://www.sv.tum.de/fileadmin/w00bdj/www/Hochschulgruppen/Logos/Studenten_bilden_Schueler-opt-min.svg
Studentischer Klavierverein München,,,https://www.sv.tum.de/fileadmin/_processed_/d/3/csm_hsg-placeholder_e3b7e51983.webp
TEDxTUM,"Unter dem Motto Ideas Worth Spreading haben wir das Ziel, neugierige Geister zu inspirieren und zu ermutigen, Ideen anderer zu nutzen.",https://www.tedxtum.com,https://www.sv.tum.de/fileadmin/_processed_/9/4/csm_TEDxTUM_853f2050b7.webp
TIDE,,,https://www.sv.tum.de/fileadmin/_processed_/d/3/csm_hsg-placeholder_e3b7e51983.webp
TSM Championship,,,https://www.sv.tum.de/fileadmin/_processed_/d/3/csm_hsg-placeholder_e3b7e51983.webp
TU Innoforge,,,https://www.sv.tum.de/fileadmin/_processed_/d/3/csm_hsg-placeholder_e3b7e51983.webp
TU Investment Club,The TU Investment Club is a non-profit student organization dedicated to the education of students with a distinct interest in financial markets.,https://tuinvest.de/,https://www.sv.tum.de/fileadmin/w00bdj/www/Hochschulgruppen/Logos/TU_Investment_Club.svg
TUM Air,,,https://www.sv.tum.de/fileadmin/_processed_/d/3/csm_hsg-placeholder_e3b7e51983.webp
TUM Blockchain Club,We aim to boost the European student blockchain ecosystem and foster a community of those driving blockchain for good.,https://www.tum-blockchain.com/,https://www.sv.tum.de/fileadmin/_processed_/7/b/csm_TUM_Blockchain_Club_487731e4c0.webp
TUM Business Club,,,https://www.sv.tum.de/fileadmin/_processed_/d/3/csm_hsg-placeholder_e3b7e51983.webp
TUM Business Game,,,https://www.sv.tum.de/fileadmin/_processed_/d/3/csm_hsg-placeholder_e3b7e51983.webp
TUM Canadian Students Association,,,https://www.sv.tum.de/fileadmin/_processed_/d/3/csm_hsg-placeholder_e3b7e51983.webp
TUM Case Club,"We are all about case studies: educational events & workshops with experienced speakers, an inspiring network, and our own competitions.",https://www.tumcaseclub.de/,https://www.sv.tum.de/fileadmin/_processed_/3/b/csm_TUM_Case_Club_eb9a077f01.webp
TUM Dev,We develop open source websites and apps for TUM students.,https://tum.dev,https://www.sv.tum.de/fileadmin/w00bdj/www/Hochschulgruppen/Logos/TUM_Dev.svg
TUM Drone Racing Club,,,https://www.sv.tum.de/fileadmin/_processed_/d/3/csm_hsg-placeholder_e3b7e51983.webp
TUM Green Tech Initiative,TUM Green Tech empowers and inspires students to take an active role in shaping a sustainable future.,https://linktr.ee/tum_greentech,https://www.sv.tum.de/fileadmin/_processed_/3/9/csm_TUM_Green_Tech_Initiative_e66acbdd4c.webp
TUM HN Hiking Club,,,https://www.sv.tum.de/fileadmin/_processed_/d/3/csm_hsg-placeholder_e3b7e51983.webp
TUM Jazzband,"We are a student-run big band, accepting musicians from all universities in Munich.",https://web1.tum.de/en/jazzband/homepage/,https://www.sv.tum.de/fileadmin/_processed_/6/c/csm_TUM_Jazzband_4b5776a002.webp
TUM Marketing Club,,,https://www.sv.tum.de/fileadmin/_processed_/d/3/csm_hsg-placeholder_e3b7e51983.webp
TUM Phoenix Robotics,We work on projects in the areas of aufonomous driving and flying.,https://www.epc.ed.tum.de/en/phoenix/tum-phoenix-robotics/,https://www.sv.tum.de/fileadmin/w00bdj/www/Hochschulgruppen/Logos/TUM_Phoenix_Robotics.svg
TUM Speakers Series,,,https://www.sv.tum.de/fileadmin/_processed_/d/3/csm_hsg-placeholder_e3b7e51983.webp
TUM Verdauungskanal,,,https://www.sv.tum.de/fileadmin/_processed_/d/3/csm_hsg-placeholder_e3b7e51983.webp
TUM tanzt! - Performance Company,,,https://www.sv.tum.de/fileadmin/_processed_/d/3/csm_hsg-placeholder_e3b7e51983.webp
TUM-XR,"We bring together innovative minds to explore the potential of XR, fostering an open community where technology meets humanities.",https://tum-xr.com/,https://www.sv.tum.de/fileadmin/_processed_/c/7/csm_tum-xr_sv_image_822035adcd.webp
TUM.ai,,,https://www.sv.tum.de/fileadmin/_processed_/d/3/csm_hsg-placeholder_e3b7e51983.webp
TUM.priv,,,https://www.sv.tum.de/fileadmin/_processed_/d/3/csm_hsg-placeholder_e3b7e51983.webp
TUMuchData,,,https://www.sv.tum.de/fileadmin/_processed_/d/3/csm_hsg-placeholder_e3b7e51983.webp
TUdesign,,,https://www.sv.tum.de/fileadmin/_processed_/d/3/csm_hsg-placeholder_e3b7e51983.webp
TUfast,,,https://www.sv.tum.de/fileadmin/_processed_/d/3/csm_hsg-placeholder_e3b7e51983.webp
Talente Spenden,Empowering volunteerism: we run several volunteer projects such as a tutoring for refugees and biotope cultivation in protected meadows.,https://www.tum.de/en/studies/fees-and-financial-aid/scholarships/tum-scholarships/deutschlandstipendium/what-we-do/social-commitment,https://www.sv.tum.de/fileadmin/w00bdj/www/Hochschulgruppen/Logos/Talente_Spenden.svg
The Entrepreneurial Group,The Entrepreneurial Group is the student initiative enabling students to start their entrepreneurial journey in Munich.,https://www.teg-ev.de,https://www.sv.tum.de/fileadmin/w00bdj/www/Hochschulgruppen/Logos/TEG.svg
Turkish Club,,,https://www.sv.tum.de/fileadmin/_processed_/d/3/csm_hsg-placeholder_e3b7e51983.webp
VDE-IEEE Hochschulgruppe,,,https://www.sv.tum.de/fileadmin/_processed_/d/3/csm_hsg-placeholder_e3b7e51983.webp
WARR,"As the biggest student group at TUM, WARR (scientific workgroup for rocketry and spaceflight) works on ambitious space projects.",https://www.warr.de/en,https://www.sv.tum.de/fileadmin/w00bdj/www/Hochschulgruppen/Logos/WARR.svg
Women in Business e. V.,,,https://www.sv.tum.de/fileadmin/_processed_/d/3/csm_hsg-placeholder_e3b7e51983.webp
Women in CS @ TUM,An initiative at TUM-Computer Science which is working towards equal participation of women and of other underrepresented groups.,https://womenincstum.github.io/,https://www.sv.tum.de/fileadmin/_processed_/d/c/csm_IFF_befea6e464.webp
bdvb Hochschulgruppe München,,,https://www.sv.tum.de/fileadmin/_processed_/d/3/csm_hsg-placeholder_e3b7e51983.webp
h4tum,,,https://www.sv.tum.de/fileadmin/_processed_/d/3/csm_hsg-placeholder_e3b7e51983.webp
iGEM Munich,Our joint team from TUM and LMU competes in iGEM – the biggest annual international competition in synthetic biology.,https://igemmunich.mwn.de,https://www.sv.tum.de/fileadmin/w00bdj/www/Hochschulgruppen/Logos/iGEM.svg
jDPG RG München,"We organize events on science-related topics, such as “Women in Science,” the “Experimente forum”, or a wide variety of lab and company visits.",https://www.dpg-physik.de/vereinigungen/fachuebergreifend/ak/akjdpg/regional/rg-muenchen/?set_language=en,https://www.sv.tum.de/fileadmin/_processed_/0/8/csm_gruppenfoto_12_25_komp_134577c8df.webp
jGBM München,,,https://www.sv.tum.de/fileadmin/_processed_/d/3/csm_hsg-placeholder_e3b7e51983.webp
neuroTUM,We’re developing a brain-computer-interface and analyzing original EEG tests with cutting-edge machine learning algorithms.,https://www.neurotum.com/,https://www.sv.tum.de/fileadmin/_processed_/0/e/csm_NeuroTUM_fed85c4d7a.webp
she.codes by TEC,"With the aim to inspire and encourage girls for STEM topics, we offer free programming workshops and supports girls via mentoring.",https://codes.education,https://www.sv.tum.de/fileadmin/w00bdj/www/Hochschulgruppen/Logos/She_Codes.svg
tu film,Lecture hall by day - cinema by night: We show the best current films and classics on the big screen every Tuesday and Thursday.,https://www.tu-film.de/,https://www.sv.tum.de/fileadmin/_processed_/5/9/csm_der_tu_film_1af30d9a06.webp
